,Name,Price/KSH,Rating,Review
185,XIAOMI Wireless Wifi Amplifier Pro Repeater,"KSh 1,399",4.3,247
186,Generic 10000mAh Power Bank Mirror Build In 4 Cables Slim,KSh 943,4.1,185
187,WEYON 816 3.1ch Blutooth Speaker  Home Threater,"KSh 4,490",3.5,22
188,Teeth Whitening Essence Removes Blemishes,KSh 268,3.6,34
189,Fashion Mother's Bag 3 In 1 Ladies Handbags Set Women Shoulder Bags Leather Waterproof-Black,"KSh 1,199",3.7,193
190,Garnier Skin Active Hydrabomb Pomegranate Tissue Face Mask,KSh 240,4.6,1226
191,Generic Smart Watch Sports Fit Tracker Wristband Bracelet,KSh 799,3.5,588
192,Nova NEW PRO  Rechargeable Hair Trimmer/Shaving Machine,KSh 489,4.2,110
193,Fashion Men's Casual Long Sleeve Shirts-Red,KSh 955,3.8,55
194,MK Electronics Fridge + TV Guard + 4 Wy Powerking Extension Cable,"KSh 1,349",4.3,150
195,Fashion Women Shoes Ladies Shoes For Women Shoe,KSh 666 - KSh 699,3.8,5
196,Fashion Soft Khaki Men's Trouser Stretch Slim Fit Official Casual- Navy Blue+Free pair of socks,"KSh 850 - KSh 1,199",4.1,234
197,Fashion Mens Sneakers Trendy Casual Shoes Sport Shoes Comfortable Sneakers-Black,"KSh 1,000 - KSh 1,100",4.1,118
198,Fashion Mens Official PU Leather Shoes Business Formal Shoes-Black,"KSh 1,300",4 o,18
199,Fashion Mens Sports Shoes Mens Sneakers Breathable Casual Running Shoes-Black,KSh 695,4 o,68
200,Generic White Board 3ft X4ft-Dry Erase Whiteboard+Free Duster,"KSh 3,995",,
201,Generic The Magic Of Thinking Big,"KSh 1,600",,
202,Generic Emotional Intelligence,"KSh 1,800",,
203,Fashion KITCHEN PRETEND KITCHEN SET TOYS,"KSh 2,999",,
204,Constant Electronic Luggage Scale,"KSh 4,000",,
205,Generic 2pcs 10mtrs Blue LED String Fairy Lights,"KSh 1,299",,
206,Generic 8 Liter Stainless Steel Pedal Dust Waste Bin For Home And Office,"KSh 5,999",,
207,Generic Abacus Plastic Toys With Rack For Kids .,KSh 699,4 o,
208,Wster Bluetooth Speaker +Extension,"KSh 1,900",,
209,Fashion Black Heavyweight Black Is Global T-shirt,"KSh 1,220",,
210,Jakin designs Hat Wrap- Beige -maroon,"KSh 2,200",,
211,Jakin designs HAT WRAP RED BLUE,"KSh 1,550",,
212,Jakin designs HAT WRAP BROWN BEIGE,"KSh 1,550",,
213,Jakin designs Hat Wrap-Purple,"KSh 2,200",,
214,Jakin designs Hat Wrap- Mustard - Grey,"KSh 2,200",,
215,Jakin designs Hat Wrap- Beige,"KSh 2,200",,
216,Generic Swan Duck Spoon Holder+6pcs Tea Spoon,"KSh 1,498",,
217,Power King King 4 Way Power Extension Cable + Gifts,KSh 999,,
218,Generic KNICKER Hedge Shears,KSh 986,,
219,Fashion Ladies Platform Sandals-Black,"KSh 1,766",,
220,Generic Portable USB LED Artcraft Tracing Light Box Copy Board,"KSh 2,199",,
221,Generic Case For OnePlus 7T Flip Case ( Flip Cover),"KSh 1,399",,
222,Generic In the Loop & Up to Speed : Caroline Taggart : Clever...,KSh 500,,
223,Generic 50pcs Tattoo,"KSh 1,264",,
